,Greek,ArmenianEastern,French,Catalan,Spanish,Portuguese,Italian,Romanian,Danish,NorwegianBokmal,Swedish,Dutch,German,English,Belarusian,Ukrainian,Russian,Czech,Slovak,Polish,Bulgarian,Macedonian,SerboCroatian,Slovene,Latvian,Lithuanian,Assamese,Bengali,Hindi,Urdu,Punjabi,Nepali,Marathi,PersianTehran,KurdishCJafi,Pashto
Greek,5.505251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmenianEastern,0,5.505251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,0,0,9.774743,8.365585,8.365585,8.365585,8.223093,7.924093,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Catalan,0,0,8.365585,9.774744,8.563863,8.563863,8.223093,7.924093,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Spanish,0,0,8.365585,8.563863,9.774744,8.843489,8.223093,7.924093,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Portuguese,0,0,8.365585,8.563863,8.843489,9.774743,8.223093,7.924093,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Italian,0,0,8.223093,8.223093,8.223093,8.223093,9.774744,7.924093,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Romanian,0,0,7.924093,7.924093,7.924093,7.924093,7.924093,9.774745,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Danish,0,0,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,9.774745,9.368776,8.958955,7.642871,7.642871,7.642871,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
NorwegianBokmal,0,0,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,9.368776,9.774745,8.958955,7.642871,7.642871,7.642871,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Swedish,0,0,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,8.958955,8.958955,9.774745,7.642871,7.642871,7.642871,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Dutch,0,0,4.157843,4.157843,4.157843,4.157843,4.157843,4.157843,7.642871,7.642871,7.642871,9.774747,8.972862,8.031382,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
