"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm","log_n_speakers_norm.n_segments_norm.delta_norm"
1,"heggarty2024",-6.00961271251396,-0.0733193617137924,0.0151792801739316,-0.0193587532834793,-0.0197946362443767,-0.306403833242299,0.059593124453343,-0.184932360945196
2,"heggarty2024",-6.70547764446142,-0.0591387458335241,-0.131386534671416,-0.108460045690396,0.11452955317792,-0.072448495451752,-0.099473188857579,-0.0132695087191128
3,"heggarty2024",-5.97790474928446,0.163347490435993,0.0230717749071538,0.0123751576039454,0.0626625116071332,0.0492188978181364,0.182917714042044,0.140726281211441
4,"heggarty2024",-6.03926792783157,-0.0628373745335367,-0.0546617814043969,-0.0498410026328024,0.0703206100829784,-0.0236063484102649,0.0643355189744537,0.101876399126063
5,"heggarty2024",-5.99911746324301,-0.0193265577761846,-0.115870645149223,-0.199463217994736,0.0434309238729197,-0.168110149089918,-0.0132264146880607,-0.0468462847568129
6,"heggarty2024",-6.05284929296302,0.212516681994341,-0.0573830285096721,0.418609383696307,0.0763768579064063,0.187985727865248,0.213025427755566,-0.256558476455624
7,"heggarty2024",-6.01891231074004,-0.000841171312589827,-0.120049151031709,0.00517598193652612,0.114664860510574,-0.192869240178265,0.231309780006689,-0.10197659853387
8,"heggarty2024",-5.69679826394061,0.0826494054240336,-0.193271843326654,-0.030425003973027,-0.0551709736079122,-0.188273021132527,0.0600749588581097,-0.250540471548752
9,"heggarty2024",-6.53671529844498,-0.0408065464038029,-0.0505358018763274,0.342138477388507,-0.17758165004374,0.164714438847229,-0.0452525234078687,-0.929374999317657
10,"heggarty2024",-5.76520909313141,-0.11291775802092,-0.0388207843954248,-0.0695230737055224,0.0483467614893255,-0.0510158643503269,0.045775215840131,-0.21653436836064
11,"heggarty2024",-5.66790777924531,-0.097022755641411,-0.0728675037219837,-0.0210261671737283,0.0267247531449745,-0.023608603460999,-0.0421167408111091,-0.290869575679515
12,"heggarty2024",-5.98100388532684,0.267916548176991,0.163265391441062,0.227245342268141,0.256728073297885,0.275156144614303,0.17815636687588,0.0893620777480781
13,"heggarty2024",-5.91146896971557,0.0215914837897817,-0.0480929690847229,-0.0275214778284778,0.04598708322944,0.129301049365894,0.00959769491072442,0.0718867874890006
14,"heggarty2024",-6.34307059876679,-0.172536797439661,-0.0952094636182503,-0.486491191583068,-0.182993903971246,-0.309444902246298,-0.0906657792917023,-0.137160268104305
15,"heggarty2024",-5.70305058267912,-0.136504737585347,-0.145528212382298,-0.166417973052007,-0.0527357768250981,-0.239295956566755,-0.105934500342293,-0.437940944209884
16,"heggarty2024",-5.92021738015218,0.00104831140843568,0.0462960127434501,-0.0518636703457361,0.0758016786579761,-0.0854163003668304,0.125066504389456,0.221583525961098
17,"heggarty2024",-5.87749754155364,0.0992825332134182,-0.145825794433903,0.0354520710425864,0.156343086465471,-0.0150499518098065,0.0398988096953377,-0.0641482580908743
18,"heggarty2024",-6.15799090974563,-0.255936429406489,-0.0718966102436413,-0.228445200227579,-0.0162945648923588,-0.493093632764846,-0.0354367162851406,-0.218491152142219
19,"heggarty2024",-5.93008492756365,-0.0142587548624179,-0.0215160804454598,0.0531177522774066,-0.0129127933919163,0.0256639250925676,0.0501801558413272,-0.364600575085164
20,"heggarty2024",-7.73784543500186,-0.176835243691376,0.0154649007464628,0.325845721838897,-0.00575555627232843,0.297260018849591,0.0128053726726886,-0.755184489457587
21,"heggarty2024",-6.21254892750371,-0.0360516907164692,-0.0276015703374828,-0.0555312771253212,-0.110079935520933,-0.0515317484101828,-0.169184275004314,-0.36183924356363
22,"heggarty2024",-5.8269124500109,-0.122014801901653,-0.163170595585606,-0.42733097641828,0.155253379434389,-0.347002264260866,-0.124804536743395,0.145773166579915
23,"heggarty2024",-5.65633907422185,0.0111584921808814,-0.0263277841282516,0.124969486462423,0.206268799919892,0.0914990662551929,0.167729500163167,-0.134773241370181
24,"heggarty2024",-5.64460101562658,-0.0200047166511658,0.0393121458364501,-0.0689801158880244,0.0936548224710804,-0.245949411880386,-0.0298267830023981,-0.55711033139894
25,"heggarty2024",-6.50434239494556,-0.272008702633121,-0.120156651614375,0.176403414027893,-0.127348412006618,-0.0959982453162051,-0.0411016170514376,-0.781627196041995
26,"heggarty2024",-6.02558893438699,-0.0275080244807461,0.00276963629958429,0.00981176511727508,-0.0719551918772532,0.16311885091281,-0.218375192087927,-0.650995545887198
27,"heggarty2024",-5.72545116024668,-0.233172592125807,-0.0996676947392942,-0.321723693788646,0.0370376982228584,-0.223692871394711,0.0339252919554147,0.0857186525229137
28,"heggarty2024",-6.02237216939207,-0.0379125597405009,0.136802366198676,0.448024798575114,-0.101529461071797,0.157041655193719,0.211338049316789,-0.723740601413789
29,"heggarty2024",-6.01090197189928,-0.0706078379340947,-0.0756328643847832,-0.256565817107116,0.197624639755655,-0.0790187356041454,0.109604557863231,0.564771913195341
30,"heggarty2024",-5.86133274383602,-0.0915506209298703,0.140091429530776,0.311689860079764,-0.0792530374749645,-0.057465887491047,0.269794684707168,-0.685207581705897
31,"heggarty2024",-5.96253958939459,0.00091967153752236,0.00151499551217942,0.154279570387169,-0.0254818012581349,0.125655914748755,-0.000656271065288254,-0.339636122737997
32,"heggarty2024",-5.68485575858151,-0.0882175636596803,0.0935920568954013,0.173612549628999,-0.112052267556878,-0.00182413553558773,0.130060327495379,-0.406569637930666
33,"heggarty2024",-6.00585609713504,0.106266419483115,0.0471412560859248,-0.0774860064848152,0.0150088044941243,-0.0925579232260417,-0.049261502153217,-0.249199169660815
34,"heggarty2024",-5.87305935936432,-0.0898632524132092,-0.0599134620153397,-0.0289334360267261,-0.0562873633167748,-0.324921571760171,-0.178256984163561,-0.678608730995618
