"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
1,"heggarty2024",-5.85579408181471,-0.407473975698745,-0.0221542699373491,0.0315395596865252,0.0786291783489721,0.103823112565553,-0.313654257475858,0.0441104258326048,-0.151325950613667,-0.349387284569254,0.162189453617895,-0.0126565230471467,0.0540343590982577,0.162362193400834,0.161086128423889,0.128409086324239
2,"heggarty2024",-6.08029957998628,-0.242500589571397,-0.234342557564557,-0.0121338173035772,0.102339229350952,-0.197283488182713,-0.257912336668126,0.352802360388781,-0.107477911056182,-0.557675101861359,0.0655774611904884,0.163031327786912,-0.890927667439008,-0.0107269301660254,-0.307116326400303,0.367319856361914
3,"heggarty2024",-5.78124808175296,-0.149354539354078,-0.200498709328627,0.17874917272032,0.0361033158535947,0.192496575904457,-0.00065255207179904,0.101959651726881,-0.181707035527508,-0.64258716278122,-0.00676611890328292,0.144656658599792,-0.468056184417811,0.0931043732491118,-0.151954388556836,0.543575200956842
4,"heggarty2024",-6.24756181473836,-0.25592280579457,0.186176742358652,0.0802784787420408,0.234948756016696,0.10765058885506,-0.338049255370503,0.106386290006405,0.0584201602674496,-0.387413057408077,0.282573674937756,0.41362277600923,-0.372595315242585,0.286966100582719,0.0114342811390528,0.294471684596389
5,"heggarty2024",-5.38424523666836,-0.290618662754483,0.2467816335501,0.0303038796099714,0.328898719893436,0.138958229043001,0.00117475659701217,-0.160183223710337,0.431185558026898,-0.608613704952968,-0.0122937635743025,0.87600005234137,-0.725459094895427,0.644401548356934,0.413867533647559,0.529438839633569
6,"heggarty2024",-5.900553695665,-0.235396367104111,0.681514824957362,0.115596265848392,0.541761272673656,0.976226991048801,-0.441941809257852,-0.11107793788011,0.181231694142628,-0.408558419201025,-0.0215972998322522,0.564441827100142,0.161269254027238,0.426929803703259,0.325407784295587,0.853897749647655
7,"heggarty2024",-6.12411875623605,-0.0857965233025087,-0.226358859702155,-0.190312064975912,-0.0632908078681928,-0.350163952007153,-0.150297601883227,0.179872483138902,0.0631782347957051,-0.374850412159858,-0.072960368372629,0.16881415444591,-0.693411727463159,0.0251195764060583,-0.579331736018295,0.255292832666921
8,"heggarty2024",-5.82611846982518,-0.168549187692083,-0.070844339811813,0.107753088546477,0.0666080769564023,0.143240483736805,-0.229237408138105,0.0421232356594091,0.078625544838808,-0.48660853691669,-0.00944890665787915,0.240285740748104,-0.551205148484594,0.193037793583163,0.161249082955577,0.42173064823554
9,"heggarty2024",-5.88536055822638,-0.262319018079097,0.105220541979994,0.111456962983266,0.235724623064831,0.394430282638522,-0.339193630857115,0.303703196781442,0.109502718726781,-0.247201761195123,0.284336659614071,0.39310350103765,-0.149250171855285,0.217446259137663,-0.131439338976084,0.568020316354011
10,"heggarty2024",-5.60381035185189,-0.329529298962539,-0.313224616727847,0.00927677009678385,-0.116122678265949,-0.404762676354138,0.0456813581169418,0.393957005912996,-0.370416874154241,-0.360702133221593,0.0415398642833713,-0.117100554149699,-0.454849599561715,-0.158552306536047,-0.480246482623305,0.162917791612116
11,"heggarty2024",-5.39950231415826,0.0361005590117563,-0.13701248641512,0.217599928055588,0.135880449340617,-0.133342789250522,0.0618303595038139,0.266269380951281,0.17721055469113,-0.294451749529029,0.145178950548946,0.322854486541395,-0.269001787945203,0.0168371032002182,0.143248074880749,0.215728919239625
12,"heggarty2024",-5.74674722427657,-0.107786699881808,-0.118819966813337,0.229773259868093,0.324648450148066,0.636809448526858,-0.077526507986267,0.102864062408965,0.0248047719924038,-0.346571291831723,0.0703618625555164,0.563528530746229,-0.322825450271595,0.356023597310836,0.388075987127956,0.581597474354892
13,"heggarty2024",-5.88272908312238,-0.202476067106885,-0.2443530674937,0.0552867946853791,-0.0426540553544234,-0.0317725245958806,-0.217768053979701,0.124562762489196,-0.0130264574764182,-0.267902893422095,0.196193314798712,0.13709897979714,-0.402142487246319,0.115135569970885,0.13257938786413,0.203299772260063
14,"heggarty2024",-5.86135559626787,0.0470060551211519,0.14918613820178,0.0641122787549965,0.295628328263601,0.41063141232275,-0.23901072103925,-0.160296127036026,0.494764424651252,-0.0333190662790853,0.15824973250049,0.675430209148153,0.364883612138861,0.392400126565586,0.42592590432021,0.293140085361977
