"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
1,"long_v3_CCD0.0.25",1.99745666211229,0.091068967733394,0.00641154205131346,-0.131243412476643,-0.00454999375088073,0.0982889335452354,0.139437154356389
2,"long_v3_CCD0.0.25",2.13667798242018,0.056244030656501,0.00369652482992983,-0.192432142830449,-0.0356712069273001,0.0989333379402194,0.107220314209523
3,"long_v3_CCD0.0.25",1.88769505136232,0.0187135050943104,0.0165131348197041,-0.0152553135883682,-0.00660972995967746,-0.0318330998833551,0.0596575294406408
4,"long_v3_CCD0.0.25",2.08389355217416,0.01990253783178,-0.0506974658647268,-0.101649629308434,-0.0688981656455922,0.0123171304198922,0.0885971273773904
5,"long_v3_CCD0.0.25",1.87842681074653,-0.0200473764059016,0.0450693911134989,-0.0744130797487457,-0.0203518201752628,0.0023147481292642,-0.0131818676803811
6,"long_v3_CCD0.0.25",2.02801818733527,-0.034821711154429,0.0410054248665371,-0.142703250794377,-0.0406288195869909,-0.000900759281832619,0.0420604013799337
7,"long_v3_CCD0.0.25",1.93017432244122,-0.0210383497008513,0.0161943709561458,-0.0935829104435025,-0.0413211453755643,0.00851801211068435,0.0429933935361847
8,"long_v3_CCD0.0.25",2.00209032387199,0.0492358515127624,-0.0366843805197793,-0.162926297256217,-0.0367402492254569,-0.011671973263127,0.0819638976319419
9,"long_v3_CCD0.0.25",2.09151094139898,-0.00597343646859708,0.0159384624019299,-0.0858017562466148,-0.0328137848473732,0.0451031030880318,0.0849663500815464
10,"long_v3_CCD0.0.25",2.16348535353292,-0.017222531246619,0.00414798084730463,-0.157878799930211,-0.0297164815943663,0.082593058604779,0.0676497998796189
11,"long_v3_CCD0.0.25",2.1820367574599,0.0577577290967568,0.0501499210579174,-0.0998424390376452,-0.0472470321280477,0.0455000978971315,0.0923496728655301
