Id	name	delta score 	Q-residual
1	Greek	0.305840	0.016622
2	ArmenianEastern	0.275600	0.011218
3	Assamese	0.158820	0.008046
4	Bengali	0.185240	0.010805
5	Hindi	0.175090	0.008081
6	Urdu	0.180500	0.008206
7	Nepali	0.178880	0.007494
8	Punjabi	0.166250	0.007729
9	Marathi	0.190100	0.011525
10	Pashto	0.207470	0.014454
11	PersianTehran	0.189750	0.010254
12	KurdishCJafi	0.217800	0.012059
13	Latvian	0.160110	0.008308
14	Lithuanian	0.173130	0.010507
15	Bulgarian	0.163770	0.005208
16	Macedonian	0.170840	0.005913
17	SerboCroatian	0.167710	0.005074
18	Slovene	0.183990	0.005089
19	Polish	0.171190	0.005239
20	Slovak	0.174400	0.005629
21	Czech	0.192060	0.006175
22	Russian	0.173740	0.005388
23	Belarusian	0.175290	0.005533
24	Ukrainian	0.167000	0.005172
25	NorwegianBokmal	0.183820	0.008379
26	Swedish	0.185050	0.008625
27	Danish	0.183920	0.008306
28	German	0.176050	0.009824
29	Dutch	0.181990	0.010638
30	English	0.159420	0.006130
31	Italian	0.181050	0.006461
32	French	0.168700	0.005886
33	Catalan	0.178870	0.005836
34	Spanish	0.181730	0.007168
35	Portuguese	0.168640	0.006095
36	Romanian	0.168220	0.006376
