"language","node","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"Greek",1,1.76420315558729e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.405327609326015,"0.12940779524964974,0.7659532318625191",0.371582520120812,"0.05767492080771852,1.7333782083920575",1,0.00225433506018873,"6.300435508844727E-4,0.004246125728209325",0.00205124012891395,"4.768802783067463E-4,0.012298095673948352","mode1248",13,38.36,23.13,1038.42876550598,2.56494935746154,"Greek"
"ArmenianEastern",2,1.78739110496728e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.100020135963446,"0.020810289241102176,0.20419767676984968",0.0890438668645244,"0.013084791602858914,0.4707523693225628",1,0.00176734226528356,"4.938760823260285E-4,0.0035214384188651106",0.00157972589492503,"4.1193847416394074E-4,0.009810354648688667","nucl1235",6,40,45,851.355126051574,1.79175946922805,"armenian"
"French",3,0.931239453092102,"0.7287557310298212,1.1418953708622253",0.924037264171494,"0.5745658518799273,1.4467417829213574",0.279246631255296,"0.09069133252118089,0.4858849389063691",0.268465718399483,"0.043270410678040605,0.7695227464978664",1,0.00424221025262306,"0.0015552812263859837,0.007940726565061309",0.00382918761900325,"9.311295122821698E-4,0.01864350172715948","stan1290",280,48,2,2760.73502996706,5.63478960316925,"latinofaliscan"
"Catalan",4,1.2104860843474,"1.0060217295112857,1.4290636926896854",1.20038213065368,"0.8812976590341073,1.799761412067733",0.197661283486035,"0.042542071100609924,0.3725869074938988",0.182804974682886,"0.01376991671889094,1.0087242404510608",1,0.00415459440940193,"0.0012187381658430453,0.008326423051345566",0.00368056534181306,"6.077887965837369E-4,0.023994286741286397","stan1289",4,41.453,1.569,2804.23155090946,1.38629436111989,"latinofaliscan"
"Spanish",5,1.77467771203135e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.314142816800482,"0.10244769407171894,0.5680514372029659",0.295756076169489,"0.06185450974674822,0.9979627422223949",1,0.00158959512996863,"5.262589906936686E-4,0.002969041234799689",0.00144083040641471,"4.403031434363205E-4,0.007711194766204927","stan1288",490,40.4414,-1.11788,3045.31100655881,6.19440539110467,"latinofaliscan"
"Portuguese",6,1.7720390833088e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.874929642064805,"0.37024144734891884,1.3801560144269711",0.855451281236602,"0.1939860257866508,1.94404656992441",1,0.00303356091894212,"0.0013322057906400623,0.005250284235398241",0.00281020224297117,"8.041919720321641E-4,0.011580131163515722","port1283",220,39.91,-8.1,3636.8736609898,5.39362754635236,"latinofaliscan"
"Italian",7,1.77955517724577e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.0360000748889186,"0.004524768325177675,0.08257894172092861",0.0304244352819021,"0.002732858923659265,0.31633040112023636",1,0.00305749538194438,"6.926018634055133E-4,0.006425645265753324",0.00268045844315158,"4.500323938848274E-4,0.02097690913104088","ital1282",61,43.0464,12.6489,1885.45167208446,4.11087386417331,"latinofaliscan"
"Romanian",8,1.77683659007708e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.515191589616854,"0.22250942294568876,0.8297774170376258",0.500651798091072,"0.08547338735062926,1.2419218776789025",1,0.00224534932022579,"9.309712561955527E-4,0.0038898781764741502",0.002087973273322,"5.339269979882692E-4,0.009027051985068407","roma1327",19,46.3913,24.2256,1124.26451521327,2.94443897916644,"latinofaliscan"
"Danish",9,1.77875559278439e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.178832648863293,"0.043433477470301796,0.33646801739192433",0.163931181716186,"0.029400731100269084,0.7714220866375321",1,0.00154432246313843,"4.7090551713501936E-4,0.0030009797778341677",0.00138774524397798,"3.4593218299538666E-4,0.010056734638318441","dani1285",5,54.8655,9.36284,2514.34647801546,1.6094379124341,"germanic"
"NorwegianBokmal",10,1.76956037147853e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,5.329070518200751E-15",1.22080908596752,"1.019108216812704,1.4617177040168636",1.20191374601282,"0.9296918478469216,1.9828819784980016",1,0.00501102973889009,"0.003438367081326637,0.006546121839254041",0.00496195698081954,"0.0025654631603382883,0.0085209608355965","norw1258",5,59.92,10.71,2781.79475459462,1.6094379124341,"germanic"
