language,rate_median,n_segments,delta,latitude,longitude,n_speakers
Greek,0.0020512401289139,29,0.30584,38.36,23.13,13.0
ArmenianEastern,0.001579725894925,37,0.2756,40.0,45.0,6.0
French,0.0038291876190032,34,0.1687,48.0,2.0,280.0
Catalan,0.003680565341813,34,0.17887,41.453,1.569,4.0
Spanish,0.0014408304064147,25,0.18173,40.4414,-1.11788,490.0
Portuguese,0.0028102022429711,41,0.16864,39.91,-8.1,220.0
Italian,0.0026804584431515,30,0.18105,43.0464,12.6489,61.0
Romanian,0.002087973273322,51,0.16822,46.3913,24.2256,19.0
Danish,0.0013877452439779,26,0.18392,54.8655,9.36284,5.0
NorwegianBokmal,0.0049619569808195,40,0.18382,59.92,10.71,5.0
Swedish,0.003057706411447,35,0.18505,59.800634,17.389526,8.0
Dutch,0.0029872375651003,43,0.18199,52.0,5.0,21.0
German,0.0023281600082952,40,0.17605,48.649,12.4676,83.0
English,0.0034991408321302,44,0.15942,53.0,-1.0,550.0
Belarusian,0.0017278605362961,42,0.17529,53.2307,25.6038,3.0
Ukrainian,0.001597533631236,41,0.167,49.796,29.945,32.0
Russian,0.0032559558094631,42,0.17374,59.0,50.0,150.0
Czech,0.0023033951738671,40,0.19206,49.873398,15.10437,10.0
Slovak,0.0016149881655032,45,0.1744,48.545705,18.78479,4.0
Polish,0.002730792167279,35,0.17119,51.8439,18.6255,38.0
Bulgarian,0.001755615536707,43,0.16377,43.3646,25.047,7.0
Macedonian,0.0036761453677759,32,0.17084,41.5957,21.7932,1.0
SerboCroatian,0.0039900678035342,34,0.16771,45.555,15.982,4.0
Slovene,0.0036235820028414,35,0.18399,46.2543,14.7766,2.0
Latvian,0.0029212566431222,42,0.16011,57.0,24.0,2.0
Lithuanian,0.002840212167851,59,0.17313,55.1429,23.9601,2.0
Assamese,0.0058705055087588,36,0.15882,26.0876,91.2932,13.0
Bengali,0.0047469116978655,47,0.18524,24.0,90.0,260.0
Hindi,0.0032767569062564,55,0.17509,25.0,77.0,320.0
Urdu,0.0026486325249691,58,0.1805,25.0,67.0,120.0
Punjabi,0.004870366228504,54,0.16625,30.0368,75.6702,113.0
Nepali,0.0029593921983555,44,0.17888,28.0,85.0,16.0
Marathi,0.0056878560709928,55,0.1901,17.9344,76.6665,83.0
PersianTehran,0.0036865745338492,30,0.18975,32.9,53.3,40.0
KurdishCJafi,0.0036330076374861,39,0.2178,35.6539,45.8077,5.3
Pashto,0.003684644062097,38,0.20747,34.0,71.33,44.0
