"language","node","CAheight_95%_HPD","CAheight_mean","CAheight_median","CAheight_range","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"ArmenianEastern",1,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",4.54603380490837,"3.930107420846766,5.812644382878621",4.38604394271882,"2.9627038519359323,8.5987480531949",1,4.55859252256247,"1.4876173756066022,7.570984565811914",4.51303578853892,"0.5642888162091569,10.087380123203179","nucl1235",6,40,45,851.355126051574,1.79175946922805,"armenian"
"Assamese",2,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.46598252936923,"1.45252840625955,3.2126214221327714",2.55038785210936,"0.8031326060029818,3.6103183421018814",1,7.1227192257079,"2.6118720812935776,12.29261163402363",6.81641975905178,"1.7215062599779474,25.424204440034206","assa1263",13,26.0876,91.2932,5377.24699923041,2.56494935746154,"indoaryan"
"Bengali",3,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.46598252936923,"1.45252840625955,3.2126214221327714",2.55038785210936,"0.8031326060029818,3.6103183421018814",1,6.95330761412449,"2.5189655137414433,11.941626237460548",6.65723708115083,"1.5950561620295525,25.389885709020483","beng1280",260,24,90,5391.05303546344,5.56068163101553,"indoaryan"
"Hindi",4,NA,NA,NA,NA,2.44419280701834e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.64043559411111,"0.8446342777799054,2.3759111456516226",1.64286039821934,"0.4002123828645061,2.9599279943996533",1,6.10608177809902,"2.0387412594075434,10.966037530331455",5.70499463588567,"1.4292172288074358,26.535898967503137","hind1269",320,25,77,4229.6718982302,5.76832099579377,"indoaryan"
"Urdu",5,NA,NA,NA,NA,2.44419280701834e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.64041813692758,"0.8446342777799054,2.3759111456516226",1.64286039821934,"0.4002123828645061,2.9599279943996533",1,7.4339761145472,"2.7108894999549924,13.586527839739684",6.95649012925694,"1.8410466323985457,30.004323502769733","urdu1245",120,25,67,3406.46962195116,4.78749174278205,"indoaryan"
"Punjabi",6,NA,NA,NA,NA,2.42445770159228e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.06179100343252,"1.3169604301471294,2.793429443023948",2.07772467911572,"0.7659931159709394,3.226301016502322",1,7.59040864192919,"2.8253786902389177,12.5167722421759",7.3033701792946,"2.1011766694037064,23.11493770529654","panj1256",113,30.0368,75.6702,3829.24304968156,4.72738781871234,"indoaryan"
"Marathi",7,NA,NA,NA,NA,2.4303782332201e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.57358468554108,"1.917387473777021,3.1687479926188553",2.61329079435833,"1.1652748621173608,3.488148125943275",1,7.1043277958779,"3.1960490019765393,11.299145441606266",7.04113100959246,"2.047055050030417,20.6786411230974","mara1378",83,17.9344,76.6665,4677.4451036534,4.4188406077966,"indoaryan"
"Nepali",8,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.63328046877141,"1.938736237246312,3.231373907890185",2.67923241887385,"1.1652748621173608,3.589872106243611",1,6.14568821401735,"2.610772964508945,9.59115017454782",6.09998014332954,"1.8668741047295534,15.540873730474747","nepa1254",16,28,85,4732.75876750629,2.77258872223978,"indoaryan"
"Pashto",9,NA,NA,NA,NA,2.4303782332201e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",3.53838716294877,"3.2953807531551638,3.8013043771772668",3.52150007169184,"2.7949388523210765,4.407495628293061",1,5.70983467337152,"2.624108177821516,8.702541134909275",5.74116925116973,"1.6442392691742704,10.99800068296864","nort2646",44,34,71.33,3270.94524379286,3.78418963391826,"iranian"
"KurdishCJafi",10,NA,NA,NA,NA,2.41952392523576e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.79889065969064,"1.7929856057537927,3.620418854128433",2.86352379076556,"1.0557427721916914,4.151040109819488",1,6.63656240889289,"2.5309953619696923,11.013466873075037",6.51285185442259,"1.5333112197650758,19.390657363252185","cent1972",5.3,35.6539,45.8077,1064.12575418723,1.66770682055808,"iranian"
"PersianTehran",11,NA,NA,NA,NA,2.41952392523576e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.79889065969064,"1.7929856057537927,3.620418854128433",2.86352379076556,"1.0557427721916914,4.151040109819488",1,6.36493044292749,"2.5014778010973586,10.556831403688458",6.23606283462567,"1.5333112197650758,18.212836737474902","west2369",40,32.9,53.3,1812.52691301066,3.68887945411394,"iranian"
"Danish",12,NA,NA,NA,NA,2.41952392523576e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",2.0141133330703,"1.44940295891832,2.5508648668493716",2.03620718564508,"0.9283914738417698,2.7860378610317196",1,8.59214954380945,"3.5909079960041237,13.888459245321245",8.46304428080057,"2.3919121329832693,23.52936966133034","dani1285",5,54.8655,9.36284,2514.34647801546,1.6094379124341,"germanic"
