language,rate_median,n_segments,delta,latitude,longitude,n_speakers
ArmenianEastern,4.51303578853892,37,0.40245,40.0,45.0,6.0
Assamese,6.81641975905178,36,0.35187,26.0876,91.2932,13.0
Bengali,6.65723708115083,47,0.34806,24.0,90.0,260.0
Hindi,5.70499463588567,55,0.31365,25.0,77.0,320.0
Urdu,6.95649012925694,58,0.32112,25.0,67.0,120.0
Punjabi,7.3033701792946,54,0.33635,30.0368,75.6702,113.0
Marathi,7.04113100959246,55,0.31105,17.9344,76.6665,83.0
Nepali,6.09998014332954,44,0.31294,28.0,85.0,16.0
Pashto,5.74116925116973,38,0.39553,34.0,71.33,44.0
KurdishCJafi,6.51285185442259,39,0.38022,35.6539,45.8077,5.3
PersianTehran,6.23606283462567,30,0.38692,32.9,53.3,40.0
Danish,8.46304428080057,26,0.35315,54.8655,9.36284,5.0
NorwegianBokmal,8.80842914172567,40,0.35743,59.92,10.71,5.0
Swedish,8.5089751262486,35,0.35055,59.800634,17.389526,8.0
Dutch,8.31298672825248,43,0.35624,52.0,5.0,21.0
German,7.821807522942,40,0.35687,48.649,12.4676,83.0
English,6.86517721212464,44,0.37876,53.0,-1.0,550.0
Catalan,14.576804356951,34,0.34045,41.453,1.569,4.0
Spanish,14.825395444735,25,0.36184,40.4414,-1.11788,490.0
Portuguese,14.757981273323,41,0.36645,39.91,-8.1,220.0
Italian,12.2254517936457,30,0.35426,43.0464,12.6489,61.0
Romanian,11.7580902555119,51,0.3884,46.3913,24.2256,19.0
French,10.2436041157023,34,0.39901,48.0,2.0,280.0
Belarusian,8.46454337398024,42,0.34205,53.2307,25.6038,3.0
Russian,7.29054138079478,42,0.3094,59.0,50.0,150.0
Ukrainian,7.26336064164982,41,0.31856,49.796,29.945,32.0
Czech,7.76731620541231,40,0.33141,49.873398,15.10437,10.0
Slovak,8.06947302125083,45,0.31508,48.545705,18.78479,4.0
Polish,7.79584349996004,35,0.36502,51.8439,18.6255,38.0
Bulgarian,7.37352549321628,43,0.33982,43.3646,25.047,7.0
Macedonian,7.3192106096504,32,0.34009,41.5957,21.7932,1.0
SerboCroatian,4.01415323501992,34,0.34619,45.555,15.982,4.0
Slovene,6.44539835662359,35,0.36945,46.2543,14.7766,2.0
Latvian,6.42807395379026,42,0.39342,57.0,24.0,2.0
Lithuanian,6.64993343634005,59,0.39098,55.1429,23.9601,2.0
Greek,4.3389752320094,29,0.4154,38.36,23.13,13.0
