Id	name	delta score 	Q-residual
1	Greek	0.415400	0.003433
2	ArmenianEastern	0.402450	0.003158
3	Assamese	0.351870	0.003743
4	Bengali	0.348060	0.003526
5	Hindi	0.313650	0.003179
6	Urdu	0.321120	0.003033
7	Nepali	0.312940	0.002683
8	Punjabi	0.336350	0.004757
9	Marathi	0.311050	0.002664
10	Pashto	0.395530	0.003466
11	PersianTehran	0.386920	0.003164
12	KurdishCJafi	0.380220	0.003024
13	Latvian	0.393420	0.003047
14	Lithuanian	0.390980	0.003394
15	Bulgarian	0.339820	0.003091
16	Macedonian	0.340090	0.003485
17	SerboCroatian	0.346190	0.002601
18	Slovene	0.369450	0.003699
19	Polish	0.365020	0.003945
20	Slovak	0.315080	0.003215
21	Czech	0.331410	0.002654
22	Russian	0.309400	0.002853
23	Belarusian	0.342050	0.003019
24	Ukrainian	0.318560	0.003329
25	NorwegianBokmal	0.357430	0.003207
26	Swedish	0.350550	0.002986
27	Danish	0.353150	0.003872
28	German	0.356870	0.002946
29	Dutch	0.356240	0.003371
30	English	0.378760	0.002959
31	Italian	0.354260	0.003014
32	French	0.399010	0.003383
33	Catalan	0.340450	0.003325
34	Spanish	0.361840	0.003313
35	Portuguese	0.366450	0.003469
36	Romanian	0.388400	0.003153

