"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
1,"heggarty2024",0.4874824164688,0.0368006538012449,1.28156172011289,0.58346416763248,0.5125175835312,0.0113913268666552,0.000641284978622078,0.00952036248760938,0.00596621851838879,0.0991496164784426,0.0141664252974782,0.0216098172739182,0.0639550338195565,0.504554138106726,0.229711340153037,0.201779487920681,0.00448479462119926,0.000252475541826382,0.00374819114367446,0.00234891554191933,0.039035458457269,0.00557735799520663,0.00850784051846144
2,"heggarty2024",-0.0530309045232356,0.0193037713800339,3.88171198228222,0.21450049416771,1.05303090452324,0.0163626039882918,0.0689087614049713,0.00865475245092826,0.0585904598543786,0.00431723784650692,0.0157308638479444,0.0191528430135981,0.0358956985222078,0.726781575919392,0.0401614050445442,0.197161320513856,0.00306360677119682,0.0129019408027057,0.00162044856861834,0.0109700222327601,0.000808326053046925,0.00294532465833813,0.00358602943554186
3,"heggarty2024",0.042979545380523,-0.170239494913484,0.150703667200554,0.0789308750308581,0.957020454619477,0.121814813689133,0.0104643016989704,0.0372697400617785,0.00858007132480339,0.0105473470361348,0.0953899349422775,0.0253972966082843,0.206844247232948,0.100729766377271,0.0527571010679602,0.639668885321822,0.0814205649545869,0.00699430003940005,0.0249109545845926,0.00573488751868001,0.00704980723153859,0.0637582750305052,0.0169754578736444
4,"heggarty2024",0.300145901016654,0.0109945772422321,0.641805643081616,0.0637591949480533,0.699854098983346,0.0236981311235067,0.0140823544262628,0.00481668044498489,0.0119144745104827,0.0047125981388283,0.0165574737101655,0.00486903489967787,0.0542711745672234,0.431881256899617,0.0429045795248193,0.47094298900834,0.0159468505241711,0.00947624096995801,0.00324122111902239,0.00801743998725076,0.00317118247463141,0.0111417882253168,0.00327645126687296
5,"heggarty2024",0.303079635750949,-0.0236608051808404,0.0353572894978854,0.35874473858457,0.696920364249051,0.00464912053258946,0.0489718121738801,0.0535084512106198,0.00884946776262069,0.0187670862546178,0.0254742465451427,0.0438729723039397,0.157586832250518,0.0273004903091841,0.276998248403192,0.538114429037105,0.00358973416369425,0.0378126972588256,0.0413155808739904,0.00683295615489168,0.014490665537483,0.0196694778026191,0.0338757204590143
6,"heggarty2024",0.226280389667724,0.177453831260857,0.413068476049524,0.802291466312174,0.773719610332276,0.13838420587609,0.0421067837174866,0.156472756623899,0.0864865054280037,0.0376200831100937,0.0580028367564921,0.0590232448427653,0.225187686128516,0.160903841820619,0.312519077766781,0.301389394284084,0.0539052279798976,0.0164019857715823,0.0609513171322946,0.0336893561137723,0.0146542673987529,0.0225940245062295,0.0229915072259868
7,"heggarty2024",-0.0650606651352263,-0.096359399807795,0.981193632750993,0.235619118702379,1.06506066513523,0.00879925087045439,0.0772850687685471,0.0403727191324551,0.079589811462571,0.0460373571369509,0.17965962359612,0.114190096931868,0.193059095402377,0.346980367903669,0.08332219631641,0.376638340377544,0.00311168682958808,0.0273303868876372,0.0142770401990632,0.0281454150749416,0.0162802311220722,0.0635331908117229,0.0403811444773516
8,"heggarty2024",0.260721127940385,0.00924461544455486,0.600257190183586,0.666929731476066,0.739278872059615,0.0718710633881082,0.213412841659033,0.022440505129231,0.0195976860603276,0.0670997386052073,0.0416373664842838,0.0536987415554743,0.196199537605776,0.240466101408421,0.267175462558582,0.296158898427222,0.0287919156982194,0.0854942762260701,0.008989781164323,0.0078509333009602,0.0268804985792563,0.0166801420376607,0.0215119905992862
9,"heggarty2024",0.125305910158903,-0.0299557699576971,5.80300186182133,0.085606460921059,0.874694089841097,0.0169656982066345,0.0669850048853457,0.0792657435779871,0.0427651822092038,0.0196461024200757,0.0125428508714762,0.171772277298804,0.0571488697126621,0.808978592218203,0.0119341326936892,0.121938405375445,0.00236513566219922,0.00933817293914645,0.011050192844626,0.00596176215747384,0.00273880254682173,0.00174856015593711,0.0239462434064577
10,"heggarty2024",0.300287241594414,0.063701454863681,0.416514257883745,0.0504927837881147,0.699712758405586,0.0487935238791362,0.00786977828556667,0.0390953079579044,0.0366274962361484,0.0168997323320367,0.0455837176838699,0.0838142712656512,0.192806924167158,0.288164668952302,0.0349333451361548,0.484095061744384,0.0337577151070109,0.0054446924960281,0.0270480211950447,0.0253406699234469,0.0116920505857044,0.0315370162422001,0.0579867586177233
