"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
1,"long_v3_CCD0.0.25",0.961957416250797,0.291719640179725,0.0583837953620067,0.677214620462932,0.0380425837492033,0.0141756490063471,0.00152781330373058,0.0330091036364508,0.0455871522834648,0.00380460821044377,0.200087582676232,0.00116765207100119,0.278992921471662,0.0544117100186371,0.631140975343127,0.0354543931665737,0.0132112223653291,0.00142386999559987,0.0307633610303194,0.0424856742396283,0.00354576535145757,0.186474816503519,0.00108821198580938
2,"long_v3_CCD0.0.25",0.881143523360521,0.0933374406260198,0.257392537909679,0.802436750962567,0.118856476639479,0.001453165748866,0.00540650255906334,0.0439573619014278,0.00164760892425204,0.0158477638320337,0.00149120282967702,0.0224009974227519,0.0725511857566649,0.202529300908096,0.631397302793765,0.0935222105414735,0.00114342337043468,0.00425410617004433,0.0345878472156189,0.00129642096973223,0.0124698118909131,0.00117335284487789,0.0176262232950438
3,"long_v3_CCD0.0.25",0.903464890143572,0.131949832103656,0.105781497911342,0.782430285178187,0.0965351098564285,0.0104476956952191,0.031685037266116,0.0762252614672603,0.00276146759317332,0.00189853154964529,0.0189545800280486,0.00569274430089663,0.130398909942874,0.0934125373235643,0.690941229425133,0.0852473233084287,0.0092260535475955,0.0279801268148071,0.0673122920586425,0.00243857101391508,0.00167653751121812,0.0167382335217692,0.00502709547492614
4,"long_v3_CCD0.0.25",0.833343990187494,0.0612072212774692,0.54712584936451,0.70900469125789,0.166656009812506,0.00192809189730467,0.0607367091692472,0.0360466530916382,0.0033733589435024,0.00970135389202174,0.00119603572812334,0.0168917016965812,0.0836460438033681,0.352379586698623,0.456638596701342,0.107335772796667,0.0012417988049337,0.0391178309329613,0.0232160566587261,0.00217263145522765,0.00624821342083978,0.000770313769752269,0.0108791987609273
5,"long_v3_CCD0.0.25",0.81778293827242,0.127488151524592,0.737228107831034,0.476401080431572,0.18221706172758,0.0264089435599448,0.0222266326299793,0.032832249209775,0.0308201272914272,0.00161031814755477,0.00854436578773642,0.00775638338125654,0.0853179276967691,0.483097141562562,0.31218017564593,0.119404755094739,0.017305478467216,0.0145648579809237,0.0215145971454838,0.0201960766809168,0.00105522305216871,0.00559902511132478,0.0050826692587353
6,"long_v3_CCD0.0.25",0.904404314939823,0.537932060336155,0.0984920273752896,0.567373881042161,0.0955956850601772,0.00793312210617926,0.0405356014271358,0.037851825746155,0.0887691574093516,0.111769644983616,0.134842774456466,0.0260952088408296,0.370307238950624,0.0814482531890414,0.469191392922479,0.0790531149378555,0.00656031716579101,0.0335210271957073,0.0313016715078178,0.0734078991034018,0.0924282156238644,0.111508603562347,0.0215795047916949
7,"long_v3_CCD0.0.25",0.845624186639548,0.124430651327331,0.697040623735665,0.813263263157813,0.154375813360452,0.00101492081304029,0.0226632732137622,0.192922729388415,0.00777496338809108,0.0104414038069343,0.00297627458181488,0.00583786249802715,0.127668609233846,0.365265712455728,0.426169114275412,0.0808965640350138,0.000531842422432318,0.0118760892193608,0.101096056383776,0.0040742640307651,0.00547154164435635,0.00155963801616641,0.00305917751698947
8,"long_v3_CCD0.0.25",0.854922196214757,0.268509854438846,0.431562024686186,0.645237679862359,0.145077803785243,0.0405997857911784,0.00674096704601605,0.108474620654579,0.00745388163172019,0.0370653049527261,0.102878037988822,0.00416363916708973,0.200997537605104,0.282204327396616,0.421929769165666,0.0948683658326143,0.0265487568095861,0.00440801081283045,0.0709330423215256,0.00487419543900596,0.0242375113091579,0.0672733601517195,0.00272266076127799
9,"long_v3_CCD0.0.25",0.808504938038642,0.21233663732199,0.370740357173676,0.631141817490481,0.191495061961358,0.0206637336734982,0.00400929391256412,0.151341713312647,0.0497381493645992,0.0025108030164123,0.023698526743459,0.0147812308439373,0.182685892441657,0.253910762548213,0.43225318488864,0.13115016012149,0.0141520723940859,0.0027458647404339,0.103650139751486,0.0340644097372603,0.0017195859478739,0.0162305259739556,0.0101232938965615
10,"long_v3_CCD0.0.25",0.903190856041992,0.21152613853171,0.46239138674424,0.841123816196714,0.0968091439580085,0.00299932941187014,0.00919793307694935,0.104958506452839,0.00573957387667638,0.00547723169455624,0.00164884647087497,0.0154397146022546,0.0941017607127342,0.299130372217564,0.544140067122726,0.0626277999469755,0.00194032706727744,0.0059503295775316,0.0678997879344221,0.00371304682422655,0.00354333234243546,0.00106667224498984,0.00998826472185126
