"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm","shapley_longitude_norm_latitude_norm","shapley_norm_longitude_norm_latitude_norm","shapley_longitude_norm_log_n_speakers_norm","shapley_norm_longitude_norm_log_n_speakers_norm","shapley_longitude_norm_n_segments_norm","shapley_norm_longitude_norm_n_segments_norm","shapley_longitude_norm_delta_norm","shapley_norm_longitude_norm_delta_norm","shapley_latitude_norm_log_n_speakers_norm","shapley_norm_latitude_norm_log_n_speakers_norm","shapley_latitude_norm_n_segments_norm","shapley_norm_latitude_norm_n_segments_norm","shapley_latitude_norm_delta_norm","shapley_norm_latitude_norm_delta_norm","shapley_log_n_speakers_norm_n_segments_norm","shapley_norm_log_n_speakers_norm_n_segments_norm","shapley_log_n_speakers_norm_delta_norm","shapley_norm_log_n_speakers_norm_delta_norm","shapley_n_segments_norm_delta_norm","shapley_norm_n_segments_norm_delta_norm"
1,"heggarty2024",0.160616593814232,0.299872701601565,0.839383406185768,0.151954548100374,0.425340904619526,0.10707206766793,0.0542566481368843,0.0191441360274728,0.0097009114977458,0.0115829926105808,0.0058694519320714,0.00752193520297045,0.00381159158037112,0.0491160077474557,0.0248885634534202,0.147633847900269,0.0748105263406465,0.0177638051547623,0.00900145618597019,0.0413939861509113,0.0209755820587906,0.107350475797858,0.0543977259387137,0.0339671701845026,0.0172121902662968,0.0371263587752919,0.0188130464699905,0.076709435715243,0.0388709861781016,0.121646230105659,0.0616418160942832,0.0265069472361788,0.0134318701478394,0.0296453252398521,0.015022180998975
2,"heggarty2024",0.313677426072078,0.175485737741872,0.686322573927922,0.0934633405492647,0.365533981730344,0.0855033974230872,0.0455389324187018,0.0372558619339296,0.0198423949216268,0.00955317438962193,0.00508800089849527,0.0950962743472027,0.0506480788048576,0.0619820852271815,0.0330115302479043,0.184482952938823,0.0982552387329484,0.163301725086615,0.0869741606380753,0.0299138513729352,0.0159320552996805,0.0564409912762157,0.0300603550833655,0.0295814555860258,0.0157550219918526,0.037836360876681,0.0201515674565178,0.104367840962439,0.0555860959858303,0.0323142657481753,0.0172105110254809,0.0423173570064628,0.0225381367166007,0.0458330687257865,0.0244105974984537
3,"heggarty2024",0.301759886244485,0.213292537567244,0.698240113755515,0.153128323930313,0.501284946673693,0.0300958943929016,0.0216066343348548,0.0396717688849971,0.0284814065508275,0.0471937932813633,0.0338816657512477,0.0162768535423534,0.0116855813627045,0.0149402702398756,0.0107260130475817,0.0227301892857072,0.0163186008645134,0.0136817386005676,0.00982248007479902,0.0476893580418083,0.0342374447298814,0.0606179260069587,0.0435192037914166,0.0417816780409061,0.0299961658404614,0.0300628502446755,0.0215829110715316,0.0256685555162371,0.0184281312827195,0.0127489314864432,0.00915279330767005,0.0127069580802393,0.00912265949513749,0.0655012045025493,0.0470250378906475
4,"heggarty2024",0.672091098084483,1.93301065310821,0.327908901915517,0.554288510534616,0.0940274884370327,0.0483359154439099,0.0138602663847979,0.143337698593125,0.0411019149474885,0.0211102928560254,0.00605335142116302,0.0700049009858707,0.0200738222705539,0.0696675667986711,0.0199770920927483,0.104176362166221,0.0298724482067286,0.0481983714299637,0.0138208258020465,0.162641651859608,0.0466373006352516,0.0509481165892371,0.0146093119628613,0.19165818254251,0.0549577563695468,0.127837173456656,0.036657157761809,0.0301896574081326,0.00865684843039888,0.108237063297338,0.031036849436527,0.0222345801203693,0.00637573945982394,0.0278756719496943,0.00799331584660577
5,"heggarty2024",0.00467866316271814,4.48905157111286,0.995321336837282,0.509300552857405,0.112923119525742,0.370710736528854,0.0420585907899284,0.517124785451191,0.0586698403781685,0.210631498050853,0.0238969717115299,0.0857761129268094,0.00973163730546166,0.320598741031343,0.0363731878473769,0.250609352972967,0.0284326165557343,0.0808292862369302,0.00917040036528976,0.21963311217529,0.0249182402306278,0.0827699724671968,0.00939057884939493,0.0783047046805836,0.00888397666041301,0.411873333896969,0.0467286493233461,0.11802563775907,0.0133904727111745,0.223418109523134,0.0253476630633316,0.261090216340046,0.0296217117182015,0.0983816945310158,0.011161790106874
6,"heggarty2024",-0.390799793595002,1.55981139796962,1.390799793595,0.284893194308185,0.254023913632257,0.118574789227513,0.0216572019613514,0.649138317566575,0.118562467924077,0.170037796559531,0.0310567104959146,0.263409236146285,0.0481106233700287,0.154127761937589,0.0281508075188629,0.256141314133898,0.0467831670373034,0.1085263494577,0.0198218953931588,0.19377459498001,0.0353921399801857,0.0513085067345428,0.00937128963015286,0.0454425637409256,0.00829989905097345,0.0910799439464831,0.0166353805351725,0.0648711205802822,0.0118484457701264,0.0654285534253054,0.0119502586072666,0.0535890427681723,0.00978782024161097,0.239013187633397,0.0436547845433722
7,"heggarty2024",0.282999110770758,0.00297432982138634,0.717000889229242,0.00241699389537149,0.582647815243052,0.0353257821238093,0.028706365759623,0.0345415838935505,0.0280691121767594,0.0323388679227618,0.0262791455710545,0.0130654094966986,0.0106171866909266,0.0393306306950534,0.0319607777212636,0.0856904405618507,0.0696335928317294,0.0483811229296176,0.0393153704512834,0.0111803071432253,0.00908531862177897,0.0216782341738332,0.0176161228939185,0.0126670983947042,0.0102935119272683,0.024137645494936,0.0196146847570216,0.0453716363440212,0.0368698075371481,0.0355805156891725,0.0289133668352946,0.0388664718943211,0.0315835939335794,0.0324595735730454,0.0263772331529274
8,"heggarty2024",0.290074648816082,0.0314213836178146,0.709925351183918,0.0225415785652755,0.509297689555599,0.0435661196162429,0.0312541649998173,0.0277290337558269,0.0198927011155476,0.0122171229153506,0.00876451652758755,0.0100261045819823,0.00719268848524827,0.0331393497283168,0.0237740407802879,0.153498076028823,0.110118923549268,0.0498368847534264,0.0357527875532834,0.0105262732094498,0.00755150751591479,0.0600073895653277,0.0430490682026181,0.0188827121862732,0.0135463843810824,0.0262481980991776,0.0188303553671033,0.0462583056018006,0.0331855287692782,0.0424872817397959,0.0304802108975117,0.0633013827334682,0.0454121661074164,0.0548590754145696,0.0393556876271607
9,"heggarty2024",0.604013700250222,0.691949748404415,0.395986299749778,0.314370887592513,0.179906943840748,0.0506147419045317,0.0229956024617178,0.030235750356225,0.013736893030788,0.0159034687132122,0.00722536222709952,0.0558808357816388,0.0253881267889672,0.0428422777538438,0.0194643684964377,0.140561806994336,0.0638609091604013,0.179977039254397,0.0817682811608006,0.0454928321969699,0.0206685847777778,0.0284519472448861,0.0129264645730929,0.114984084621532,0.0522402802007479,0.0573347759964008,0.0260486898961512,0.0213855035468976,0.00971599418477098,0.123614455673503,0.0561612837333269,0.0702343169812487,0.0319092891062726,0.135611904304982,0.0616120387683866
10,"heggarty2024",0.41995245565505,1.09590017641682,0.58004754434495,0.48068185816383,0.254419460311364,0.0664597827229348,0.0291504760560181,0.0410303374781407,0.0179966563419735,0.0143733714879504,0.006304423581258,0.016700323230681,0.00732506716871541,0.098926578905557,0.0433910065838218,0.0217134198072935,0.00952390300199328,0.0494155842040165,0.0216745788974153,0.074441260731817,0.0326512982684456,0.0162680613123415,0.007135469186534,0.0347029880267078,0.0152213651639841,0.0479399487891957,0.0210273382194481,0.0241099604425967,0.010575069550309,0.0147005589597568,0.00644793398968774,0.0300980647346573,0.0132015615976027,0.0530587406052492,0.0232725339175995
