"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta"
1,"heggarty2024",0.274019853912072,0.00599616778709327,0.54310623106859,0.0398884870198994,0.725980146087928,0.0564591345519243,0.0405189015790421,0.127827556303398,0.0109383709002167,0.0469112182014011,0.0492842593217107,0.202289321166466,0.33097781486968,0.0243086960102223,0.442424167953632,0.0344071194813251,0.024692880947369,0.077900202290418,0.00666602202604929,0.0285884631863368,0.0300346332349673
2,"heggarty2024",0.447171089785555,0.0589154116683867,1.12775773964967,0.573432811915638,0.552828910214445,0.00344619773623969,0.0091668227639687,0.016114498778509,0.0304406883629147,0.0124328522111649,0.0162479952983867,0.0375123771962704,0.481563218215008,0.244861232716486,0.236063171872236,0.00147155901850374,0.00391431999606109,0.00688104334722744,0.0129984617594193,0.00530894545158256,0.00693804762347632
3,"heggarty2024",0.0660922963806417,-0.0659577284611923,0.183777729286513,0.131381025730545,0.933907703619358,0.0728981546086923,0.00163098759203804,0.0107921249867513,0.0109953095173438,0.0323531876538335,0.003602568709479,0.0957566194929743,0.133043197215748,0.0951113705917307,0.676088812699547,0.0527735520398561,0.00118072959496448,0.00781280092296109,0.00795989338993061,0.0234216166577861,0.00260802688747594
4,"heggarty2024",0.0851152952877141,-0.0815968537576965,0.0805288466413576,0.107825723262354,0.914884704712286,0.0773025432296819,0.119875215935936,0.0549725872368401,0.0938845597723839,0.0100556800637609,0.0975152343721576,0.291362205528028,0.0517256642219941,0.0692591212786324,0.587653008971346,0.0496533299727052,0.0769988075907295,0.0353102485310738,0.0603043681482706,0.00645901130086183,0.0626364399843867
5,"heggarty2024",0.0147062065105223,-0.207514720585169,0.600730944944649,-0.0193025735863062,0.985293793489478,0.00413488953211998,0.00542901741453276,0.12592453030262,0.0644264509570587,0.0278817109061,0.0388767605982461,0.143937838538136,0.324246538357323,0,0.531815623104541,0.00223182046565517,0.00293033032201474,0.0679681867373396,0.0347743925583839,0.0150492467898679,0.0209838616648742
6,"heggarty2024",0.0480523046458082,-0.100035720494858,0.0946219059128538,0.168090516873708,0.951947695354192,0.100345324809913,0.0848163768080539,0.0351992364866808,0.234528440514898,0.0274440860112921,0.0118026902076962,0.289172069632975,0.0553734271364488,0.0983677923060087,0.557086710924568,0.0587228134779117,0.0496351602290052,0.0205988490513916,0.137247748150806,0.0160604786218566,0.00690702010200327
7,"heggarty2024",0.125609294199718,0.0388669222746651,0.571194431354446,-0.00940897113076611,0.874390705800282,0.0177625852163805,0.209833513014344,0.0350433381777338,0.0123083258949945,0.0278354334701953,0.0178479761862395,0.18153561956441,0.323400043588534,0,0.495064336847056,0.0100568572064,0.118803972045492,0.0198409096308824,0.006968753391913,0.0157599232475375,0.0101052040421858
8,"heggarty2024",0.152716515615306,0.0482932013670185,0.318673390775148,0.0938711341123204,0.847283484384694,0.158855105364768,0.0160241454831451,0.105295074490722,0.0309559926561887,0.111933508438055,0.0335796408091763,0.26603615235681,0.185656094572748,0.054688432284906,0.493619320785536,0.0925474775073851,0.00933551515559503,0.0613439115834032,0.0180346676771196,0.0652114002298297,0.0195631802034773
9,"heggarty2024",-0.0130022020483989,-0.0529674664717678,0.1805780573953,-0.0461762699610938,1.0130022020484,0.0441346454941442,0.0647898759926961,0.00900837994741532,0.1180564909351,0.0363335729643119,0.00377095716790341,0.187860633256911,0.122869449306299,0,0.689269917436791,0.0300302244105066,0.0440845166831058,0.00612950819853947,0.0803283424213381,0.0247221958517504,0.00256584569167034
10,"heggarty2024",0.244595022836621,0.0370228923007745,0.0458033979123205,0.0404329494538788,0.755404977163379,0.0165740043380499,0.00270435189713314,0.0078300771050743,0.0486496351463594,0.00233009491222901,0.00169190783604988,0.0865836973198399,0.0497095011282204,0.0438810620631756,0.819825739488764,0.0179874316075534,0.00293497840354513,0.00849782427569738,0.0527984648174968,0.00252880486923771,0.00183619334630943
