language,glottocode,n_speakers,latitude,longitude,Hittite,log_speakers,taxonset
Assamese,assa1263,13.0,26.0876,91.2932,5377.2469992304095,2.5649493574615367,indoaryan
Belarusian,bela1254,3.0,53.2307,25.6038,1633.6541161778866,1.0986122886681098,slavic
Bulgarian,bulg1262,7.0,43.3646,25.047,906.4932303211792,1.9459101490553132,slavic
Bengali,beng1280,260.0,24.0,90.0,5391.0530354634375,5.560681631015528,indoaryan
Catalan,stan1289,4.0,41.453,1.569,2804.231550909455,1.3862943611198906,latinofaliscan
KurdishCJafi,cent1972,5.3,35.6539,45.8077,1064.1257541872283,1.667706820558076,iranian
Czech,czec1258,10.0,49.873398,15.10437,1902.9680981431343,2.302585092994046,slavic
Danish,dani1285,5.0,54.8655,9.36284,2514.346478015458,1.6094379124341003,germanic
German,stan1295,83.0,48.649,12.4676,2023.3046781233106,4.418840607796598,germanic
Greek,mode1248,13.0,38.36,23.13,1038.428765505982,2.5649493574615367,Greek
English,stan1293,550.0,53.0,-1.0,3067.3285251881152,6.309918278226516,germanic
Spanish,stan1288,490.0,40.4414,-1.11788,3045.3110065588066,6.194405391104672,latinofaliscan
PersianTehran,west2369,40.0,32.9,53.3,1812.5269130106594,3.6888794541139363,iranian
French,stan1290,280.0,48.0,2.0,2760.735029967055,5.634789603169249,latinofaliscan
Hindi,hind1269,320.0,25.0,77.0,4229.6718982302,5.768320995793772,indoaryan
SerboCroatian,croa1245,4.0,45.555,15.982,1665.4845902533755,1.3862943611198906,slavic
ArmenianEastern,nucl1235,6.0,40.0,45.0,851.355126051574,1.791759469228055,armenian
Italian,ital1282,61.0,43.0464,12.6489,1885.4516720844586,4.110873864173311,latinofaliscan
Lithuanian,lith1251,2.0,55.1429,23.9601,1871.255755104733,0.6931471805599453,baltic
Latvian,stan1325,2.0,57.0,24.0,2050.759189692084,0.6931471805599453,baltic
Macedonian,mace1250,1.0,41.5957,21.7932,1124.6206212756892,0.0,slavic
Marathi,mara1378,83.0,17.9344,76.6665,4677.445103653399,4.418840607796598,indoaryan
NorwegianBokmal,norw1258,5.0,59.92,10.71,2781.7947545946226,1.6094379124341003,germanic
Nepali,nepa1254,16.0,28.0,85.0,4732.758767506288,2.772588722239781,indoaryan
Dutch,dutc1256,21.0,52.0,5.0,2646.403085377772,3.044522437723423,germanic
Punjabi,panj1256,113.0,30.0368,75.6702,3829.2430496815596,4.727387818712341,indoaryan
Polish,poli1260,38.0,51.8439,18.6255,1819.066679642238,3.6375861597263857,slavic
Pashto,nort2646,44.0,34.0,71.33,3270.945243792857,3.784189633918261,iranian
Portuguese,port1283,220.0,39.91,-8.1,3636.8736609898046,5.393627546352362,latinofaliscan
Romanian,roma1327,19.0,46.3913,24.2256,1124.2645152132748,2.9444389791664403,latinofaliscan
Russian,russ1263,150.0,59.0,50.0,2361.713965946782,5.0106352940962555,slavic
Slovak,slov1269,4.0,48.545705,18.78479,1597.6087730306024,1.3862943611198906,slavic
Slovene,slov1268,2.0,46.2543,14.7766,1776.0604121475212,0.6931471805599453,slavic
Swedish,swed1254,8.0,59.800634,17.389526,2519.487241234589,2.0794415416798357,germanic
Ukrainian,ukra1253,32.0,49.796,29.945,1159.0702746462537,3.4657359027997265,slavic
Urdu,urdu1245,120.0,25.0,67.0,3406.469621951163,4.787491742782046,indoaryan
